Country Code,Year,urban_pop_percentage
KHM,1961,10.293
KIR,1961,16.918
KNA,1961,28.269
KOR,1961,28.531
KWT,1961,75.787
LAO,1961,8.02
LBN,1961,44.039
LBR,1961,19.291
LBY,1961,28.197
LCA,1961,21.696
LIE,1961,20.315
LKA,1961,16.592
LSO,1961,3.96
LTU,1961,40.443
LUX,1961,69.927
LVA,1961,53.663
MAC,1961,95.328
MAF,1961,N/A
MAR,1961,29.849
MDA,1961,24.216
MDG,1961,10.971
MDV,1961,11.23
MEX,1961,51.59
MHL,1961,36.959
MKD,1961,35.214
MLI,1961,11.361
MLT,1961,90.069
MMR,1961,19.566
MNE,1961,19.502
MNG,1961,37.682
MNP,1961,52.741
MOZ,1961,7.051
MRT,1961,7.435
MUS,1961,35.829
MWI,1961,4.489
MYS,1961,27.241
NAM,1961,18.334
NCL,1961,38.781
NER,1961,5.896
NGA,1961,15.633
NIC,1961,40.03
NLD,1961,60.02
NOR,1961,50.998
NPL,1961,3.571
NZL,1961,76.525
OMN,1961,17.475
PAK,1961,22.501
PAN,1961,41.853
PER,1961,47.398
PHL,1961,30.555
PLW,1961,57.114
PNG,1961,4.024
POL,1961,48.527
PRI,1961,45.933
PRK,1961,41.162
PRT,1961,35.344
PRY,1961,35.67
PSE,1961,44.734
PYF,1961,43.217
QAT,1961,85.693
ROU,1961,34.894
RUS,1961,54.626
RWA,1961,2.654
SAU,1961,32.373
SDN,1961,11.232
SEN,1961,23.645
SGP,1961,100.0
SLB,1961,6.038
SLE,1961,17.903
SLV,1961,38.527
SOM,1961,17.835
SRB,1961,30.052
SSD,1961,8.737
STP,1961,16.805
SUR,1961,47.297
SVK,1961,33.953
SVN,1961,29.107
SWE,1961,73.295
SWZ,1961,4.335
SXM,1961,100.0
SYC,1961,28.717
SYR,1961,37.399
TCA,1961,48.021
TCD,1961,6.962
TGO,1961,10.94
THA,1961,19.781
TJK,1961,33.56
TKM,1961,46.557
TLS,1961,10.243
TON,1961,17.929
TTO,1961,35.004
TUN,1961,37.95
TUR,1961,32.064
TUV,1961,16.444
TZA,1961,5.394
UGA,1961,4.617
UKR,1961,47.542
URY,1961,80.462
USA,1961,70.377
UZB,1961,34.238
VCT,1961,26.394
VEN,1961,62.875
VGB,1961,12.618
VIR,1961,57.864
VNM,1961,15.031
VUT,1961,10.583
WSM,1961,18.986
YEM,1961,9.459
ZAF,1961,46.793
ZMB,1961,18.951
ZWE,1961,12.821
AFG,1962,8.976
AGO,1962,11.204
ALB,1962,31.015
ARE,1962,75.248
ARG,1962,74.767
ARM,1962,53.019
ASM,1962,67.068
ATG,1962,38.427
AUS,1962,82.228
AUT,1962,64.863
AZE,1962,52.064
BDI,1962,2.154
BEL,1962,92.679
BEN,1962,10.47
BFA,1962,4.893
BGD,1962,5.498
BGR,1962,40.494
BHR,1962,82.355
BHS,1962,61.193
BIH,1962,20.437
BLR,1962,34.663
BLZ,1962,53.41
BMU,1962,100.0
BOL,1962,37.357
BRA,1962,48.099
BRB,1962,36.922
BRN,1962,47.07
BTN,1962,3.999
BWA,1962,3.134
CAF,1962,21.418
CAN,1962,70.494
CHE,1962,71.539
CHL,1962,69.435
CHN,1962,17.226
CIV,1962,20.21
CMR,1962,15.058
COD,1962,22.749
COG,1962,33.045
COL,1962,49.143
COM,1962,14.189
CPV,1962,17.224
CRI,1962,34.404
CUB,1962,58.776
CYM,1962,100.0
CYP,1962,36.674
CZE,1962,60.555
DEU,1962,71.762
DJI,1962,52.619
DMA,1962,37.979
DNK,1962,75.093
DOM,1962,32.074
DZA,1962,33.214
ECU,1962,35.06
EGY,1962,38.624
ERI,1962,10.438
ESP,1962,58.308
EST,1962,59.072
ETH,1962,6.874
FIN,1962,57.162
FJI,1962,30.823
FRA,1962,63.489
FSM,1962,22.797
GAB,1962,19.594
GBR,1962,78.237
GEO,1962,44.051
GHA,1962,24.352
GIN,1962,11.418
GMB,1962,12.535
GNB,1962,13.895
GNQ,1962,26.234
GRC,1962,57.34
GRD,1962,30.707
GTM,1962,32.424
GUM,1962,52.314
GUY,1962,29.089
HKG,1962,85.582
HND,1962,23.9
HRV,1962,32.001
HTI,1962,16.365
HUN,1962,56.758
IDN,1962,15.058
IND,1962,18.218
IRL,1962,45.603
IRN,1962,35.051
IRQ,1962,45.978
ISL,1962,81.297
ISR,1962,78.754
ITA,1962,60.355
JAM,1962,35.239
JOR,1962,53.215
JPN,1962,65.144
KAZ,1962,45.296
KEN,1962,7.774
KGZ,1962,34.844
KHM,1962,10.333
KIR,1962,17.566
KNA,1962,28.903
KOR,1962,29.461
KWT,1962,76.66
LAO,1962,8.095
LBN,1962,45.752
LBR,1962,19.969
LBY,1962,29.089
LCA,1962,21.934
LIE,1962,20.102
LKA,1962,16.753
LSO,1962,4.464
LTU,1962,41.435
LUX,1962,70.443
LVA,1962,54.459
MAC,1962,95.556
MAF,1962,N/A
MAR,1962,30.345
MDA,1962,25.027
MDG,1962,11.309
MDV,1962,11.288
MEX,1962,52.428
MHL,1962,38.358
MKD,1962,36.473
MLI,1962,11.662
MLT,1962,90.008
MMR,1962,19.91
MNE,1962,20.237
MNG,1962,39.73
MNP,1962,54.26
MOZ,1962,7.246
MRT,1962,8.031
MUS,1962,36.555
MWI,1962,4.59
MYS,1962,27.895
NAM,1962,18.748
NCL,1962,40.224
NER,1962,6.0
NGA,1962,15.858
NIC,1962,40.481
NLD,1962,60.204
NOR,1962,52.653
NPL,1962,3.612
NZL,1962,77.133
OMN,1962,18.607
PAK,1962,22.751
PAN,1962,42.494
PER,1962,48.514
PHL,1962,30.816
PLW,1962,57.405
PNG,1962,4.347
POL,1962,48.926
PRI,1962,47.327
PRK,1962,42.136
PRT,1962,35.722
PRY,1962,35.771
PSE,1962,45.661
PYF,1962,44.16
QAT,1962,86.101
ROU,1962,35.586
RUS,1962,55.518
RWA,1962,2.71
SAU,1962,33.518
SDN,1962,11.737
SEN,1962,24.303
SGP,1962,100.0
SLB,1962,6.321
SLE,1962,18.467
SLV,1962,38.628
SOM,1962,18.372
SRB,1962,31.062
SSD,1962,8.725
STP,1962,17.969
SUR,1962,47.335
SVK,1962,34.714
SVN,1962,29.934
SWE,1962,74.271
SWZ,1962,4.8
SXM,1962,100.0
SYC,1962,29.786
SYR,1962,38.044
TCA,1962,48.364
TCD,1962,7.239
TGO,1962,11.844
THA,1962,19.89
TJK,1962,33.955
TKM,1962,46.702
TLS,1962,10.511
TON,1962,18.312
TTO,1962,35.864
TUN,1962,38.391
TUR,1962,32.598
TUV,1962,17.008
TZA,1962,5.547
UGA,1962,4.826
UKR,1962,48.294
URY,1962,80.681
USA,1962,70.757
UZB,1962,34.5
VCT,1962,26.851
VEN,1962,63.933
VGB,1962,13.019
VIR,1962,59.241
VNM,1962,15.369
VUT,1962,10.765
WSM,1962,19.061
YEM,1962,9.831
ZAF,1962,46.906
ZMB,1962,19.785
ZWE,1962,13.082
AFG,1963,9.276
AGO,1963,11.624
ALB,1963,31.086
ARE,1963,76.093
ARG,1963,75.309
ARM,1963,53.889
ASM,1963,67.493
ATG,1963,37.817
AUS,1963,82.511
AUT,1963,64.913
AZE,1963,51.764
BDI,1963,2.193
BEL,1963,92.835
BEN,1963,11.118
BFA,1963,4.993
BGD,1963,5.727
BGR,1963,42.23
BHR,1963,82.372
BHS,1963,61.926
BIH,1963,21.209
BLR,1963,35.822
BLZ,1963,53.101
BMU,1963,100.0
BOL,1963,37.656
BRA,1963,49.078
BRB,1963,36.995
BRN,1963,48.92
BTN,1963,4.217
BWA,1963,3.171
CAF,1963,22.1
CAN,1963,71.307
CHE,1963,71.834
CHL,1963,70.2
CHN,1963,17.757
CIV,1963,21.575
CMR,1963,15.647
COD,1963,22.976
COG,1963,33.78
COL,1963,50.584
COM,1963,15.074
CPV,1963,17.503
CRI,1963,34.606
CUB,1963,58.963
CYM,1963,100.0
CYP,1963,37.176
CZE,1963,61.044
DEU,1963,71.826
DJI,1963,53.787
DMA,1963,38.046
DNK,1963,75.757
DOM,1963,33.052
DZA,1963,34.662
ECU,1963,35.606
EGY,1963,38.977
ERI,1963,10.772
ESP,1963,59.306
EST,1963,59.836
ETH,1963,7.104
FIN,1963,57.998
FJI,1963,31.403
FRA,1963,64.702
FSM,1963,23.042
GAB,1963,20.923
GBR,1963,78.099
GEO,1963,44.544
GHA,1963,24.915
GIN,1963,11.919
GMB,1963,12.862
GNB,1963,14.045
GNQ,1963,26.323
GRC,1963,58.222
GRD,1963,30.895
GTM,1963,33.086
GUM,1963,53.396
GUY,1963,29.129
HKG,1963,85.867
HND,1963,24.491
HRV,1963,32.979
HTI,1963,16.762
HUN,1963,57.181
IDN,1963,15.299
IND,1963,18.405
IRL,1963,45.813
IRN,1963,35.718
IRQ,1963,47.532
ISL,1963,81.781
ISR,1963,79.502
ITA,1963,60.853
JAM,1963,35.985
JOR,1963,53.565
JPN,1963,66.064
KAZ,1963,45.847
KEN,1963,8.038
KGZ,1963,35.178
KHM,1963,10.497
KIR,1963,18.233
KNA,1963,29.545
KOR,1963,30.407
KWT,1963,77.511
LAO,1963,8.17
LBN,1963,47.475
LBR,1963,20.664
LBY,1963,29.998
LCA,1963,22.174
LIE,1963,19.89
LKA,1963,16.916
LSO,1963,5.029
LTU,1963,42.434
LUX,1963,70.953
LVA,1963,55.253
MAC,1963,95.773
MAF,1963,N/A
MAR,1963,30.846
MDA,1963,25.856
MDG,1963,11.657
MDV,1963,11.345
MEX,1963,53.265
MHL,1963,39.776
MKD,1963,37.75
MLI,1963,11.97
MLT,1963,89.948
MMR,1963,20.259
MNE,1963,20.993
MNG,1963,41.056
MNP,1963,55.771
MOZ,1963,7.445
MRT,1963,8.671
MUS,1963,37.286
MWI,1963,4.694
MYS,1963,28.558
NAM,1963,19.17
NCL,1963,41.684
NER,1963,6.259
NGA,1963,16.087
NIC,1963,41.005
NLD,1963,60.387
NOR,1963,54.302
NPL,1963,3.653
NZL,1963,77.73
OMN,1963,19.794
PAK,1963,23.002
PAN,1963,43.137
PER,1963,49.632
PHL,1963,31.077
PLW,1963,57.696
PNG,1963,4.694
POL,1963,49.326
PRI,1963,48.724
PRK,1963,43.116
PRT,1963,36.101
PRY,1963,35.916
PSE,1963,46.737
PYF,1963,45.389
QAT,1963,86.5
ROU,1963,36.284
RUS,1963,56.408
RWA,1963,2.766
SAU,1963,35.011
SDN,1963,12.262
SEN,1963,24.973
SGP,1963,100.0
SLB,1963,6.616
SLE,1963,19.06
SLV,1963,38.729
SOM,1963,18.92
SRB,1963,32.091
SSD,1963,8.714
STP,1963,19.194
SUR,1963,47.372
SVK,1963,35.483
SVN,1963,30.776
SWE,1963,75.223
SWZ,1963,5.312
SXM,1963,100.0
SYC,1963,30.877
SYR,1963,38.694
TCA,1963,48.706
TCD,1963,7.527
TGO,1963,12.811
THA,1963,20.0
TJK,1963,34.351
TKM,1963,46.848
TLS,1963,10.785
TON,1963,18.701
TTO,1963,36.734
TUN,1963,38.833
TUR,1963,33.137
TUV,1963,17.587
TZA,1963,5.704
UGA,1963,5.045
UKR,1963,49.046
URY,1963,80.899
USA,1963,71.134
UZB,1963,34.762
VCT,1963,27.314
VEN,1963,64.977
VGB,1963,13.43
VIR,1963,60.604
VNM,1963,15.714
VUT,1963,10.95
WSM,1963,19.141
YEM,1963,10.216
ZAF,1963,47.02
ZMB,1963,20.712
ZWE,1963,13.578
AFG,1964,9.586
AGO,1964,12.058
ALB,1964,31.158
ARE,1964,76.919
ARG,1964,75.844
ARM,1964,54.758
ASM,1964,67.916
ATG,1964,37.211
AUS,1964,82.792
AUT,1964,64.962
AZE,1964,51.464
BDI,1964,2.233
BEL,1964,92.988
BEN,1964,11.801
BFA,1964,5.095
BGD,1964,5.964
BGR,1964,43.987
BHR,1964,82.389
BHS,1964,62.642
BIH,1964,22.004
BLR,1964,37.0
BLZ,1964,52.79
BMU,1964,100.0
BOL,1964,37.957
BRA,1964,50.059
BRB,1964,37.068
BRN,1964,50.776
BTN,1964,4.446
BWA,1964,3.318
CAF,1964,22.803
CAN,1964,72.107
CHE,1964,72.127
CHL,1964,70.955
CHN,1964,18.299
CIV,1964,23.007
CMR,1964,16.255
COD,1964,23.204
COG,1964,34.524
COL,1964,52.027
COM,1964,16.004
CPV,1964,17.787
CRI,1964,35.197
CUB,1964,59.15
CYM,1964,100.0
CYP,1964,37.681
CZE,1964,61.532
DEU,1964,71.891
DJI,1964,54.952
DMA,1964,38.113
DNK,1964,76.409
DOM,1964,34.046
DZA,1964,36.141
ECU,1964,36.122
EGY,1964,39.331
ERI,1964,11.115
ESP,1964,60.298
EST,1964,60.596
ETH,1964,7.342
FIN,1964,58.832
FJI,1964,31.991
FRA,1964,65.898
FSM,1964,23.289
GAB,1964,22.318
GBR,1964,77.96
GEO,1964,45.039
GHA,1964,25.488
GIN,1964,12.439
GMB,1964,13.677
GNB,1964,14.197
GNQ,1964,26.413
GRC,1964,59.099
GRD,1964,31.085
GTM,1964,33.682
GUM,1964,54.475
GUY,1964,29.169
HKG,1964,86.147
HND,1964,25.094
HRV,1964,33.972
HTI,1964,17.168
HUN,1964,57.603
IDN,1964,15.543
IND,1964,18.595
IRL,1964,46.023
IRN,1964,36.391
IRQ,1964,49.093
ISL,1964,82.256
ISR,1964,80.232
ITA,1964,61.35
JAM,1964,36.74
JOR,1964,53.914
JPN,1964,66.972
KAZ,1964,46.4
KEN,1964,8.318
KGZ,1964,35.515
KHM,1964,10.662
KIR,1964,18.92
KNA,1964,30.197
KOR,1964,31.372
KWT,1964,78.341
LAO,1964,8.246
LBN,1964,49.207
LBR,1964,21.378
LBY,1964,30.924
LCA,1964,22.416
LIE,1964,19.679
LKA,1964,17.014
LSO,1964,5.661
LTU,1964,43.441
LUX,1964,71.459
LVA,1964,56.045
MAC,1964,95.98
MAF,1964,N/A
MAR,1964,31.353
MDA,1964,26.703
MDG,1964,12.014
MDV,1964,11.404
MEX,1964,54.1
MHL,1964,41.214
MKD,1964,39.047
MLI,1964,12.286
MLT,1964,89.886
MMR,1964,20.613
MNE,1964,21.77
MNG,1964,41.585
MNP,1964,57.274
MOZ,1964,7.65
MRT,1964,9.357
MUS,1964,38.025
MWI,1964,4.8
MYS,1964,29.232
NAM,1964,19.6
NCL,1964,43.161
NER,1964,6.529
NGA,1964,16.318
NIC,1964,41.855
NLD,1964,60.57
NOR,1964,55.944
NPL,1964,3.695
NZL,1964,78.317
OMN,1964,21.04
PAK,1964,23.256
PAN,1964,43.784
PER,1964,50.752
PHL,1964,31.34
PLW,1964,57.987
PNG,1964,5.069
POL,1964,49.727
PRI,1964,50.126
PRK,1964,44.102
PRT,1964,36.483
PRY,1964,36.079
PSE,1964,47.818
PYF,1964,46.783
QAT,1964,86.78
ROU,1964,36.989
RUS,1964,57.294
RWA,1964,2.824
SAU,1964,36.872
SDN,1964,12.808
SEN,1964,25.657
SGP,1964,100.0
SLB,1964,6.924
SLE,1964,19.712
SLV,1964,38.83
SOM,1964,19.453
SRB,1964,33.14
SSD,1964,8.702
STP,1964,20.484
SUR,1964,47.341
SVK,1964,36.26
SVN,1964,31.631
SWE,1964,76.153
SWZ,1964,5.876
SXM,1964,100.0
SYC,1964,31.991
SYR,1964,39.349
TCA,1964,49.049
TCD,1964,7.877
TGO,1964,13.847
THA,1964,20.11
TJK,1964,34.751
TKM,1964,46.993
TLS,1964,11.066
TON,1964,19.098
TTO,1964,37.613
TUN,1964,39.279
TUR,1964,33.68
TUV,1964,18.183
TZA,1964,5.865
UGA,1964,5.273
UKR,1964,49.8
URY,1964,81.114
USA,1964,71.508
UZB,1964,35.025
VCT,1964,27.781
VEN,1964,66.009
VGB,1964,13.854
VIR,1964,61.952
VNM,1964,16.064
VUT,1964,11.138
WSM,1964,19.221
YEM,1964,10.614
ZAF,1964,47.134
ZMB,1964,22.015
ZWE,1964,14.092
AFG,1965,9.904
AGO,1965,12.504
ALB,1965,31.23
ARE,1965,77.723
ARG,1965,76.369
ARM,1965,55.622
ASM,1965,68.334
ATG,1965,36.61
AUS,1965,83.068
AUT,1965,65.011
AZE,1965,51.164
BDI,1965,2.294
BEL,1965,93.137
BEN,1965,12.519
BFA,1965,5.198
BGD,1965,6.211
BGR,1965,45.755
BHR,1965,82.5
BHS,1965,63.343
BIH,1965,22.817
BLR,1965,38.127
BLZ,1965,52.481
BMU,1965,100.0
BOL,1965,38.257
BRA,1965,51.037
BRB,1965,37.141
BRN,1965,52.625
BTN,1965,4.687
BWA,1965,3.839
CAF,1965,23.519
CAN,1965,72.892
CHE,1965,72.417
CHL,1965,71.696
CHN,1965,18.086
CIV,1965,24.5
CMR,1965,16.88
COD,1965,23.434
COG,1965,35.273
COL,1965,52.82
COM,1965,16.978
CPV,1965,18.073
CRI,1965,35.791
CUB,1965,59.337
CYM,1965,100.0
CYP,1965,38.188
CZE,1965,62.016
DEU,1965,71.955
DJI,1965,56.109
DMA,1965,38.18
DNK,1965,77.048
DOM,1965,35.052
DZA,1965,37.643
ECU,1965,36.64
EGY,1965,39.686
ERI,1965,11.466
ESP,1965,61.278
EST,1965,61.348
ETH,1965,7.587
FIN,1965,59.658
FJI,1965,32.582
FRA,1965,67.071
FSM,1965,23.537
GAB,1965,23.775
GBR,1965,77.821
GEO,1965,45.534
GHA,1965,26.067
GIN,1965,12.978
GMB,1965,14.533
GNB,1965,14.349
GNQ,1965,26.502
GRC,1965,59.969
GRD,1965,31.274
GTM,1965,33.989
GUM,1965,55.548
GUY,1965,29.209
HKG,1965,86.422
HND,1965,25.704
HRV,1965,34.977
HTI,1965,17.58
HUN,1965,58.022
IDN,1965,15.789
IND,1965,18.785
IRL,1965,46.233
IRN,1965,37.068
IRQ,1965,50.651
ISL,1965,82.72
ISR,1965,80.94
ITA,1965,61.843
JAM,1965,37.499
JOR,1965,54.262
JPN,1965,67.866
KAZ,1965,47.047
KEN,1965,8.605
KGZ,1965,35.851
KHM,1965,10.83
KIR,1965,19.625
KNA,1965,30.855
KOR,1965,32.351
KWT,1965,79.273
LAO,1965,8.323
LBN,1965,50.935
LBR,1965,22.108
LBY,1965,33.666
LCA,1965,22.66
LIE,1965,19.471
LKA,1965,17.11
LSO,1965,6.366
LTU,1965,44.45
LUX,1965,71.958
LVA,1965,56.832
MAC,1965,96.177
MAF,1965,N/A
MAR,1965,31.862
MDA,1965,27.566
MDG,1965,12.379
MDV,1965,11.458
MEX,1965,54.931
MHL,1965,42.663
MKD,1965,40.355
MLI,1965,12.608
MLT,1965,89.825
MMR,1965,20.971
MNE,1965,22.566
MNG,1965,42.114
MNP,1965,58.759
MOZ,1965,7.86
MRT,1965,10.09
MUS,1965,38.767
MWI,1965,4.908
MYS,1965,29.913
NAM,1965,20.035
NCL,1965,44.646
NER,1965,6.809
NGA,1965,16.551
NIC,1965,42.707
NLD,1965,60.753
NOR,1965,57.568
NPL,1965,3.737
NZL,1965,78.891
OMN,1965,22.338
PAK,1965,23.511
PAN,1965,44.431
PER,1965,51.868
PHL,1965,31.604
PLW,1965,58.276
PNG,1965,5.47
POL,1965,50.126
PRI,1965,51.524
PRK,1965,45.091
PRT,1965,36.866
PRY,1965,36.243
PSE,1965,48.898
PYF,1965,48.178
QAT,1965,87.054
ROU,1965,37.697
RUS,1965,58.173
RWA,1965,2.882
SAU,1965,38.769
SDN,1965,13.373
SEN,1965,26.351
SGP,1965,100.0
SLB,1965,7.245
SLE,1965,20.379
SLV,1965,38.931
SOM,1965,19.964
SRB,1965,34.202
SSD,1965,8.69
STP,1965,21.833
SUR,1965,47.109
SVK,1965,37.043
SVN,1965,32.497
SWE,1965,77.056
SWZ,1965,6.494
SXM,1965,100.0
SYC,1965,33.123
SYR,1965,40.006
TCA,1965,49.392
TCD,1965,8.406
TGO,1965,14.95
THA,1965,20.221
TJK,1965,35.152
TKM,1965,47.139
TLS,1965,11.353
TON,1965,19.499
TTO,1965,38.498
TUN,1965,39.724
TUR,1965,34.227
TUV,1965,18.793
TZA,1965,6.03
UGA,1965,5.509
UKR,1965,50.649
URY,1965,81.328
USA,1965,71.879
UZB,1965,35.289
VCT,1965,28.252
VEN,1965,67.022
VGB,1965,14.287
VIR,1965,63.279
VNM,1965,16.421
VUT,1965,11.329
WSM,1965,19.301
YEM,1965,11.026
ZAF,1965,47.248
ZMB,1965,23.372
ZWE,1965,14.62
AFG,1966,10.233
AGO,1966,12.965
ALB,1966,31.302
ARE,1966,78.508
ARG,1966,76.888
ARM,1966,56.483
ASM,1966,68.75
ATG,1966,36.012
AUS,1966,83.34
AUT,1966,65.061
AZE,1966,50.864
BDI,1966,2.395
BEL,1966,93.284
BEN,1966,13.275
BFA,1966,5.303
BGD,1966,6.467
BGR,1966,47.233
BHR,1966,82.761
BHS,1966,64.04
BIH,1966,23.652
BLR,1966,39.269
BLZ,1966,52.17
BMU,1966,100.0
BOL,1966,38.559
BRA,1966,52.016
BRB,1966,37.214
BRN,1966,54.469
BTN,1966,4.94
BWA,1966,4.437
CAF,1966,24.252
CAN,1966,73.642
CHE,1966,72.706
CHL,1966,72.427
CHN,1966,17.915
CIV,1966,25.206
CMR,1966,17.525
COD,1966,23.666
COG,1966,36.031
COL,1966,53.587
COM,1966,18.0
CPV,1966,18.363
CRI,1966,36.39
